Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,Breached SLA
111177,1/17/2019,Criminal case system,Julius Wright,sryder@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Closed,10/1/2019,1/18/2019,Stellar Murad,Help Desk Team,6,0,N/A,N/A,New Ticket,No
111271,7/24/2019,missing content on the ff Process Objects,Julius Wright,atom.short@gmail.com,High,Internal Technical Department,Incident / Problem,Web,Closed,10/1/2019,7/25/2019,Stellar Murad,BPM - ProcessMaker Support Team,9,7,N/A,N/A,New Ticket,Yes
111297,9/9/2019,Issue with Journal Import via Journal Wizard,Melody Thompson,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/26/2019,9/23/2019,Jared Smith,JDE Support Team,32,8,N/A,N/A,New Ticket,Yes
111291,8/28/2019,JDE PROD Slowdown 28 Aug 2019,Michelle Walters,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/19/2019,N/A,Jared Smith,JDE Support Team,12,3,N/A,N/A,New Ticket,No
111296,9/3/2019,JDE Prod Error in validation of DV,Jasper John,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/18/2019,9/13/2019,Jared Smith,JDE Support Team,19,1,N/A,N/A,New Ticket,No
111299,9/10/2019,JDE TEST: Error in java applet,John Brown,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/17/2019,9/10/2019,Jared Smith,JDE Support Team,7,1,N/A,N/A,Open,No
111120,2/6/2019,[SAP] Term Activate a Student,Kimberly Jones,michelle.walters@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/11/2019,N/A,Jared Smith,SAP Support Team,11,4,N/A,N/A,New Ticket,No
111114,2/1/2019,Class Permission of FOR 200-3 in UPLB,Wilson Campus,jasper.john@gmail.com,High,SAP JDE Support Department,Request,Web,Closed,9/11/2019,N/A,Jared Smith,SAP Support Team,41,5,N/A,N/A,New Ticket,No
111292,8/28/2019,Update the Landing Page,Julius Wright,jbrown@outlook.com,High,SAP JDE Support Department,Request,Web,Closed,9/11/2019,8/28/2019,Jared Smith,SAP Support Team,21,5,N/A,N/A,New Ticket,Yes
111286,8/13/2019,[TEST Instance] Hung Concurrent Requests,Reah Junes,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/2/2019,8/14/2019,Jared Smith,JDE Support Team,12,2,N/A,N/A,New Ticket,No
111288,8/20/2019,Test instance - license expired,Marvin Peters,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/29/2019,8/20/2019,Jared Smith,JDE Support Team,9,3,N/A,N/A,New Ticket,No
111206,5/21/2019,JDE PROD Slowdown 21 May 2019,Aurora Miller,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/27/2019,5/22/2019,Jared Smith,JDE Support Team,46,3,N/A,N/A,New Ticket,No
111201,5/14/2019,Expense Report Approval Hierarchy Issue,Aurora Miller,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/22/2019,8/19/2019,Jared Smith,JDE Support Team,20,3,N/A,N/A,New Ticket,Yes
111284,8/9/2019,Can't Access ODSM,Wilson Campus,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/20/2019,8/13/2019,Jared Smith,SAP Support Team,11,2,N/A,N/A,New Ticket,No
111281,8/2/2019,"SAP Production Slowdown ( August 2, 2019 ) ",Atom Short,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/6/2019,N/A,Jared Smith,SAP Support Team,7,2,N/A,N/A,New Ticket,No
111273,7/28/2019,SQL Error Message,Wilson Campus,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/6/2019,7/29/2019,Jared Smith,SAP Support Team,10,6,N/A,N/A,New Ticket,No
111269,7/23/2019,OpenVPN Problem,Jasper John,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/29/2019,7/23/2019,Jared Smith,JDE Support Team,9,2,N/A,N/A,New Ticket,No
111252,7/8/2019,multitenant error,Julius Wright,atom.short@gmail.com,High,Internal Technical Department,Incident / Problem,Web,Closed,7/18/2019,7/9/2019,Stellar Murad,Help Desk Team,14,2,N/A,N/A,New Ticket,Yes
111248,7/4/2019,Setup of Earnings,Winson Williams,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/15/2019,7/10/2019,Jared Smith,JDE Support Team,9,2,N/A,N/A,New Ticket,Yes
111247,7/3/2019,Unable to tuition calc for the specific student.,Sheila Ryder,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/12/2019,7/3/2019,Jared Smith,SAP Support Team,8,2,N/A,N/A,Close Ticket,No
111203,5/15/2019,JDE PROD - Error status of transactions,Sheila Ryder,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/10/2019,5/16/2019,Jared Smith,JDE Support Team,9,2,N/A,N/A,New Ticket,No
111180,4/17/2019,[OAF] $Custom_TOP Path,Marvin Peters,winson.williams@outlook.com,High,SAP JDE Support Department,Request,Web,Closed,7/9/2019,4/18/2019,Jared Smith,JDE Support Team,15,1,N/A,N/A,New Ticket,Yes
111242,6/27/2019,Legal case system ERROR,Julius Wright,sryder@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Open,7/5/2019,6/28/2019,Jose Satary,Help Desk Team,3,1,N/A,N/A,New Ticket,No
111243,6/27/2019,Legal case system - Criminal case,Vic Vincent,sryder@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Open,7/5/2019,6/28/2019,Jared Smith,Help Desk Team,3,0,N/A,N/A,New Ticket,Yes
111240,6/24/2019,VPN Access,Wilson Campus,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/1/2019,6/25/2019,Jared Smith,AWS Team,6,1,N/A,N/A,Close Ticket,Yes
111146,3/19/2019,JDE Prod Slowdown 19 March 2019,Paul Jiggins,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/1/2019,3/19/2019,Jared Smith,JDE Support Team,35,5,N/A,N/A,New Ticket,Yes
111220,5/31/2019,Workflow Notification won't start,Paul Jiggins,vic.vincent@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/21/2019,6/10/2019,Stellar Murad,SAP Support Team,17,1,N/A,N/A,New Ticket,No
111224,6/4/2019,Salary Basis,Paul Jiggins,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/21/2019,6/10/2019,Jared Smith,JDE Support Team,8,3,N/A,N/A,New Ticket,No
111216,5/29/2019,COS Issue-Missing Remarks,Aurora Miller,pjiggins@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/21/2019,6/20/2019,Jared Smith,JDE Support Team,14,3,N/A,N/A,New Ticket,Yes
111221,6/3/2019,Cannot Terminate Assignment of an Employee,Julius Wright,pjiggins@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019,6/13/2019,Jared Smith,JDE Support Team,15,6,N/A,N/A,New Ticket,No
111217,5/29/2019,COS Issue-Application Error encountered,Reah Junes,pjiggins@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019,6/10/2019,Jared Smith,JDE Support Team,8,3,N/A,N/A,New Ticket,Yes
111193,5/6/2019,Application Cache Stock on queued,John Brown,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/7/2019,5/6/2019,Jared Smith,SAP Support Team,11,4,N/A,N/A,Close Ticket,No
111183,4/22/2019,JDE PROD - Timeout Expense Report (22 Apr 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/4/2019,4/23/2019,Jared Smith,JDE Support Team,61,11,N/A,N/A,Close Ticket,No
111198,5/10/2019,Transactions are being deferred,Julius Wright,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/3/2019,5/10/2019,Jared Smith,JDE Support Team,13,2,N/A,N/A,New Ticket,No
111199,5/14/2019,DEV Server unable to boot up,Julius Wright,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/29/2019,5/14/2019,Jared Smith,SAP Support Team,11,3,N/A,N/A,New Ticket,No
111194,5/6/2019,JDE PROD - Requests not completing (06 May 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/14/2019,5/7/2019,Jared Smith,JDE Support Team,26,5,N/A,N/A,New Ticket,No
111187,4/29/2019,JDE PROD - Slowdown access (29 Apr 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/10/2019,4/29/2019,Jared Smith,JDE Support Team,10,2,N/A,N/A,New Ticket,No
111182,4/22/2019,UPOU cannot print SALN,Reah Junes,vic.vincent@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Email,Closed,5/8/2019,4/22/2019,Jared Smith,JDE Support Team,9,4,N/A,N/A,New Ticket,No
111185,4/25/2019,JDE PROD - Error in updating AME setup,Reah Junes,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/6/2019,4/25/2019,Jared Smith,JDE Support Team,11,5,N/A,N/A,Close Ticket,No
111157,3/28/2019,Unable to log in to JDE Prod (28 March 2019),John Brown,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/30/2019,3/28/2019,Jared Smith,JDE Support Team,21,3,N/A,N/A,New Ticket,Yes
111152,3/20/2019,Deferred Internet Expenses (20 March 2019),John Brown,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/10/2019,3/21/2019,Jared Smith,JDE Support Team,25,1,N/A,N/A,Close Ticket,No
111151,3/20/2019,Deferred Purchase Order Approvals,Julius Wright,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/10/2019,3/21/2019,Jared Smith,JDE Support Team,33,9,N/A,N/A,New Ticket,No
111149,3/20/2019,Deferred ReqJDEition Approvals,Julius Wright,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/10/2019,3/20/2019,Jared Smith,JDE Support Team,6,2,N/A,N/A,New Ticket,No
111121,2/6/2019,"Missing SPMS PMP 2016, 2017 and 2018",Julius Wright,vic.vincent@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Email,Closed,4/4/2019,8/7/2021,Jared Smith,JDE Support Team,18,3,N/A,N/A,New Ticket,No
111162,4/1/2019,SAP Dev Instance can’t be reached,Reah Junes,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/3/2019,4/1/2019,Jared Smith,SAP Support Team,11,2,N/A,N/A,New Ticket,Yes
111158,3/28/2019,Maximum Number of Session Exceeded and Page Error,Julius Wright,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/1/2019,3/28/2019,Jared Smith,SAP Support Team,12,1,N/A,N/A,New Ticket,Yes
111136,2/21/2019,JDE Prod Slowdown 21 Feb 2019,Reah Junes,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/28/2019,2/22/2019,Jared Smith,JDE Support Team,35,2,N/A,N/A,New Ticket,Yes
111154,3/21/2019,JDE Prod Slowdown 21 March 2019,Reah Junes,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/28/2019,3/21/2019,Jared Smith,JDE Support Team,12,1,N/A,N/A,New Ticket,No
111143,3/12/2019,JDE Prod Slowdown (12 March 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/28/2019,3/13/2019,Jared Smith,JDE Support Team,7,2,N/A,N/A,New Ticket,No
111122,2/6/2019,Error in submitting updated Approved POs,Jasper John,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/22/2019,N/A,Jared Smith,JDE Support Team,116,37,N/A,N/A,New Ticket,Yes
111138,2/27/2019,Unable to add attachment in the Invoice,Kimberly Jones,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/20/2019,2/27/2019,Jared Smith,JDE Support Team,9,1,N/A,N/A,New Ticket,Yes
111131,2/19/2019,Auto Approve Salary,John Brown,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/18/2019,2/19/2019,Jared Smith,JDE Support Team,8,1,N/A,N/A,New Ticket,No
111116,2/1/2019,Approval Notification not forwarding,Joseph Reynolds,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/5/2019,2/1/2019,Jared Smith,JDE Support Team,8,4,N/A,N/A,New Ticket,No
111133,2/19/2019,Error in submission of PPMP,Melody Thompson,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/5/2019,2/20/2019,Jared Smith,JDE Support Team,7,1,N/A,N/A,New Ticket,No
111129,2/18/2019,Total unit passed,Troy Daniels,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/2/2019,2/18/2019,Jared Smith,SAP Support Team,7,6,N/A,N/A,New Ticket,No
111123,2/7/2019,Cannot Access / Incorrect Data on Log In Page,Erick White,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/20/2019,2/7/2019,Satya Prakash,JDE Support Team,6,1,N/A,N/A,New Ticket,No
111115,2/1/2019,Dev Instance | Record View Issue,Riza Richardson,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/14/2019,2/1/2019,Satya Prakash,SAP Support Team,14,5,N/A,N/A,New Ticket,No
627778,7/30/2018,Firewall policy migration,Melody Thompson,jreynolds@yahoo.com,High,Internal Technical Department,Incident / Problem,Web,Resolved,12/6/2018,7/30/2018,Satya Prakash,Workday Team,18,0,NON-PROD,DEVELOPMENT,,Yes
111656,3/31/2021,Cannot access JDE-SIT in MAC,Marvin Peters,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/12/2021,9/29/2023,Mark Jikkins,JDE Support Team,3,1,NON-PROD,TEST,Close Ticket,No
111624,2/24/2021,Employee Legislative Information - Mismatch,Riza Richardson,troy.daniels@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/2021,8/25/2023,Mark Jikkins,JDE Support Team,17,4,PROD,PRODUCTION,New Ticket,No
111660,4/8/2021,Cannot open attachment in JDE SIT,Melody Thompson,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/2021,10/7/2023,Mark Jikkins,JDE Support Team,3,0,NON-PROD,TEST,New Ticket,No
111560,11/19/2020,STUCK PR and PPMP Approval,Aurora Miller,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,4/7/2021,11/24/2020,Jared Smith,JDE Support Team,41,8,PROD,PRODUCTION,Close Ticket,No
111659,4/7/2021,How to run SQL package,Erick White,mthompson@yahoo.com,Normal,SAP JDE Support Department,Request,Web,Open,4/7/2021,10/7/2023,Satya Prakash,JDE Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111657,4/5/2021,Display footer on generated report.,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,4/7/2021,10/5/2023,Satya Prakash,SAP Support Team,4,1,NON-PROD,TEST,New Ticket,Yes
111420,5/5/2020,Deferred PO Transactions,Aurora Miller,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/7/2021,5/10/2020,Satya Prakash,JDE Support Team,179,43,PROD,PRODUCTION,New Ticket,Yes
111650,3/24/2021,BEE Spreadsheet Issue,Jane Wilberts,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,4/7/2021,9/23/2023,Satya Prakash,JDE Support Team,6,3,PROD,PRODUCTION,New Ticket,Yes
111643,3/18/2021,How to prevent our API to SQL injection,Marvin Peters,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,4/7/2021,9/17/2023,Satya Prakash,SAP Support Team,7,0,NON-PROD,DEVELOPMENT,New Ticket,Yes
111630,3/5/2021,JDE Payables UPMin Attachment,Aurora Miller,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/7/2021,3/6/2021,Satya Prakash,JDE Support Team,8,2,PROD,PRODUCTION,New Ticket,Yes
111655,3/29/2021,Optimize the created Query.,Aurora Miller,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,4/6/2021,9/28/2023,Satya Prakash,SAP Support Team,7,0,PROD,PRODUCTION,New Ticket,Yes
111658,4/6/2021,Creation of User for Integration Broker permission,Marvin Peters,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/6/2021,10/6/2023,Satya Prakash,SAP Support Team,2,0,NON-PROD,DEVELOPMENT,New Ticket,No
111639,3/17/2021,Appraisal Issue,Marvin Peters,jwilberts@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/6/2021,9/16/2023,Satya Prakash,JDE Support Team,8,4,PROD,TEST,New Ticket,No
111602,1/28/2021,Past due balance posted in Student Center,Aurora Miller,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Resolved,4/6/2021,1/29/2021,Satya Prakash,SAP Support Team,34,5,PROD,PRODUCTION,Close Ticket,No
111644,3/18/2021,How to whitelist domain name in SAP API,Kimberly Jones,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,3/31/2021,9/17/2023,Satya Prakash,SAP Support Team,5,0,NON-PROD,DEVELOPMENT,New Ticket,No
111642,3/18/2021,Creation of Separate nodes,Erick White,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,3/30/2021,9/17/2023,Satya Prakash,SAP Support Team,3,1,NON-PROD,DEVELOPMENT,New Ticket,No
111651,3/24/2021,Post Issue - SAP Slow Performance,Kian Rogers,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Phone,Open,3/30/2021,3/29/2021,Satya Prakash,SAP Support Team,4,0,PROD,PRODUCTION,Close Ticket,Yes
111640,3/17/2021,Loading upon saving Expression on Query Manager,Melody Thompson,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/2021,9/16/2023,Satya Prakash,SAP Support Team,18,0,PROD,DEVELOPMENT,New Ticket,No
111641,3/17/2021,Past due balance posted in Student Center,Kimberly Jones,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/30/2021,9/16/2023,Satya Prakash,SAP Support Team,23,0,PROD,PRODUCTION,Close Ticket,No
111617,2/15/2021,Integration Broker Issue,Marvin Peters,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/30/2021,2/16/2021,Jared Smith,SAP Support Team,22,4,PROD,PRODUCTION,Close Ticket,No
111556,11/16/2020,Java Web Start Implementation,John Brown,kjones@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/2021,11/17/2020,Raya Musk,JDE Support Team,42,0,PROD,PRODUCTION,New Ticket,No
111654,3/26/2021,Cloudflare blocked uploading xml,Melody Thompson,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/2021,9/24/2023,Raya Musk,JDE Support Team,17,0,NON-PROD,TEST,New Ticket,Yes
111622,2/22/2021,Unable to Attach Update XML file in Data Def,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/29/2021,2/23/2021,Raya Musk,JDE Support Team,13,1,NON-PROD,TEST,New Ticket,Yes
111583,12/22/2020,RetroPay Report not displaying in PDF,Cherie Mercurie,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/29/2021,12/27/2020,Jared Smith,JDE Support Team,27,11,PROD,PRODUCTION,Close Ticket,No
111634,3/11/2021,1900 emails from JDE workflow notif mailer 2/22/21,Cherie Mercurie,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Other,Resolved,3/29/2021,9/9/2023,Raya Musk,JDE Support Team,6,0,NON-PROD,TEST,New Ticket,Yes
111457,7/7/2020,DV Approval Error,Melody Thompson,kjones@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/29/2021,7/8/2020,Raya Musk,JDE Support Team,33,3,PROD,PRODUCTION,New Ticket,No
111653,3/25/2021,"Expression output on Query Manager,",Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/26/2021,9/24/2023,Raya Musk,SAP Support Team,5,0,PROD,PRODUCTION,Close Ticket,No
111652,3/24/2021,Tablespace Issue,Bladimir Macdonald,jbrown@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,3/26/2021,9/23/2023,Raya Musk,SAP Support Team,4,0,NON-PROD,TEST,New Ticket,No
111476,7/24/2020,Cannot Terminate Employment,Bladimir Macdonald,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/2021,7/29/2020,Jared Smith,JDE Support Team,85,27,PROD,PRODUCTION,Close Ticket,No
111637,3/16/2021,Special Leave Issues,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/24/2021,9/14/2023,Raya Musk,JDE Support Team,6,3,NON-PROD,TEST,Close Ticket,No
111648,3/23/2021,Locked Out OpenVPN Account,Melody Thompson,cmercurie@outlook.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/23/2021,9/21/2023,Jared Smith,AWS Team,7,0,NON-PROD,DEVELOPMENT,Close Ticket,Yes
111647,3/22/2021,[Test Only]:::SAP Reset Password,Marvin Peters,cmercurie@outlook.com,Normal,Internal Technical Department,Request,Phone,Open,3/22/2021,3/27/2021,Raya Musk,Help Desk Team,3,0,NON-PROD,TEST,New Ticket,Yes
111646,3/22/2021,[Test Only]:::[SAP]Page not available,Jasper John,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Web,Resolved,3/22/2021,3/27/2021,Raya Musk,Help Desk Team,5,1,NON-PROD,TEST,New Ticket,No
111645,3/19/2021,How to override set-up in created element,Cherie Mercurie,mthompson@yahoo.com,Normal,SAP JDE Support Department,Request,Web,Resolved,3/19/2021,9/17/2023,Raya Musk,JDE Support Team,5,2,PROD,PRODUCTION,Close Ticket,Yes
111638,3/16/2021,Test Ticket,Cherie Mercurie,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Email,Open,3/16/2021,3/21/2021,Raya Musk,Help Desk Team,2,0,PROD,PRODUCTION,New Ticket,No
111599,1/28/2021,Extraction of Data on ODSM.,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/15/2021,2/2/2021,Jared Smith,SAP Support Team,12,3,NON-PROD,DEVELOPMENT,New Ticket,No
111627,3/4/2021,Post Issue - SAP LOGIN ISSUES ENCOUNTERED,Kian Rogers,bmacdonald@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/2021,3/9/2021,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,Yes
111628,3/4/2021,Post Issue - SAP SLOW PERFORMANCE ISSUE,Melody Thompson,bmacdonald@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/2021,3/9/2021,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111626,3/3/2021,Person Analyzer,Marvin Peters,krogers@mailinator.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/11/2021,3/4/2021,Jared Smith,JDE Support Team,3,0,NON-PROD,TEST,Close Ticket,Yes
111635,3/11/2021,Configuration related to web browser to open Java,Marvin Peters,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Other,Open,3/11/2021,9/9/2023,Raya Musk,JDE Support Team,3,1,NON-PROD,TEST,New Ticket,Yes
111619,2/17/2021,issues in UP General Payroll Scholars Report,Marvin Peters,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/10/2021,2/18/2021,Jared Smith,JDE Support Team,21,11,PROD,PRODUCTION,Close Ticket,No
111615,2/15/2021,"Post Issue - Getting ""No space left on device"" ",Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/9/2021,N/A,Jared Smith,SAP Support Team,6,2,PROD,PRODUCTION,New Ticket,No
111625,2/24/2021,Tuition Calculation Issue,Melody Thompson,jasper.john@gmail.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/9/2021,2/24/2021,Jared Smith,SAP Support Team,12,3,PROD,PRODUCTION,New Ticket,Yes
111631,3/5/2021,[SAP] Page is not available,Aurora Miller,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Web,Open,3/5/2021,3/10/2021,Raya Musk,Help Desk Team,2,0,PROD,PRODUCTION,New Ticket,No
111629,3/5/2021,Test Ticket,Marvin Peters,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Web,Open,3/5/2021,3/12/2021,Raya Musk,Help Desk Team,3,0,NON-PROD,TEST,New Ticket,No
111609,2/15/2021,Post Issue - Bind Failed / ODSM down,Kian Rogers,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/2/2021,N/A,Jared Smith,SAP Support Team,6,2,PROD,PRODUCTION,New Ticket,Yes
111623,2/22/2021,Person Analyzer for 132939,Kimberly Jones,krogers@mailinator.com,Normal,SAP JDE Support Department,Request,Web,Open,3/1/2021,8/24/2023,Raya Musk,JDE Support Team,4,0,NON-PROD,TEST,New Ticket,Yes
111606,2/10/2021,OpenVPN error,Cheena Carols,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/26/2021,2/10/2021,Raya Musk,AWS Team,7,2,PROD,PRODUCTION,New Ticket,No
111610,2/15/2021,Slow performance of SAP/SAP too long to load,Aurora Miller,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021,2/16/2021,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111612,2/15/2021,Cashier officer can't use search in SAP (UPCEB),Aurora Miller,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021,2/16/2021,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111613,2/15/2021,Post Issue - SQL Access ManagerSQL,Aurora Miller,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021,N/A,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111614,2/15/2021,Error appeared Maintain Schedule of Classes module,Riza Richardson,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021,2/16/2021,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111604,2/3/2021,Received email notifs on 01-FEB-2021,Marvin Peters,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/23/2021,2/4/2021,Jared Smith,JDE Support Team,9,1,NON-PROD,TEST,New Ticket,No
111605,2/8/2021,Revising the Contact Information,Marvin Peters,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/22/2021,2/9/2021,Jared Smith,SAP Support Team,19,2,PROD,PRODUCTION,New Ticket,No
